<<----------Recording new readings---------->>
<--Settings-->
 zero_time: 2.000000
 read_raw_ave: 10.000000
 read_value_avg: 10.000000
 scale_factor: 10.000000
 offset_u: 0.000000
 gain: 128.000000
 lowpass_time: 0.100000
 t_readings: 1.000000
Zero offset Value: 6.217969
<------------>
Raw_Value,Raw_Value_Avg,Get_Value,Raw_Filter,Get_Units
119627.000000,119888.796875,120557.960938,120509.359375,12045.340820
120741.000000,120644.296875,120472.046875,120476.937500,12045.812500
120366.000000,120447.000000,120445.992188,120448.187500,12045.104492
120416.000000,120333.601563,120449.218750,120452.390625,12043.873047
120353.000000,120236.203125,120408.742188,120392.062500,12036.733398
120147.000000,120090.398438,120327.179688,120307.960938,12027.494141
119977.000000,119895.000000,120238.328125,120205.093750,12015.716797
119865.000000,119697.000000,120077.328125,119971.593750,11983.822266
118548.000000,116958.000000,118677.273438,115957.343750,11024.119141
-115623.000000,35908.101563,86161.648438,59308.976563,4166.116211
-294810.000000,-5957.600098,13353.223633,-15216.103516,-2770.481201
-353036.000000,37805.101563,-59519.351563,-77632.125000,-7180.732910
-281293.000000,59514.398438,-52448.316406,-35009.289063,-1934.387939
